metric_type,unit,min_valid,max_valid,precision
temperature_c,celsius,-40.0,85.0,2
humidity_pct,percent,0.0,100.0,2
pressure_hpa,hectopascal,800.0,1100.0,2
battery_pct,percent,0.0,100.0,1
wind_speed_ms,meters_per_second,0.0,120.0,2
wind_gust_ms,meters_per_second,0.0,140.0,2
precipitation_mm,millimeter,0.0,1000.0,2
pm25_ugm3,micrograms_per_m3,0.0,500.0,2
pm10_ugm3,micrograms_per_m3,0.0,600.0,2
ozone_ppb,parts_per_billion,0.0,500.0,2
no2_ppb,parts_per_billion,0.0,2000.0,2
visibility_km,kilometer,0.0,200.0,2
cloud_cover_pct,percent,0.0,100.0,1
coin_in,usd,0.0,100000.0,2
coin_out,usd,0.0,100000.0,2
